,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Payables And Accrued Expenses,Payables,Accounts Payable,Dividends Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
56,5/31/2009,"41,518,288","9,694,825","9,694,825",-,-,"9,694,825",-,-,-,-,-,0,"1,529,420","1,429,738","99,682",-,"25,455,041","27,441,514",-,-,"27,441,514",-,-,"1,986,473",-,"1,955,207","1,955,207","1,955,207",-,"531,166",-,-,-,-,-,-,-,"454,898","255,421","199,477",-,"1,897,731","34,102,648","29,149,730","29,085,894","29,085,894","63,836",-,-,"2,512,625","235,934","235,934",-,"2,276,691","500,000","500,000",-,"500,000","1,427,043","1,427,043",-,-,-,"513,250","7,415,640","7,415,640","1,156,810","1,151,979","4,831","3,296,234","3,029,992","14,854","-52,542",-,"8,842,683","1,151,979","6,263,661",-,"6,960,742","8,190,704","5,808,763","1,927,043",-,"484,516","483,081","1,225","1,435"
57,2/28/2009,"40,606,518","8,724,208","8,724,208",-,"411,398","8,312,810",-,-,-,-,-,-,"1,302,580","1,302,580",-,-,"26,155,266","28,034,208",-,-,-,-,"28,034,208","1,878,942",-,"150,100","150,100","150,100",-,"544,219",-,-,-,-,-,-,-,"456,819",-,-,-,"3,273,326","34,607,167","28,334,318","28,252,147","28,252,147","82,171",-,-,"252,161","252,161","252,161",-,-,"2,375,000","2,375,000",-,"2,375,000","1,432,631","1,432,631",-,-,-,"2,213,057","5,999,351","5,999,351","4,828",-,"4,828","3,136,977","2,938,043","14,418","-66,079",-,"7,431,982",-,"5,999,351",-,"5,542,532","9,806,982","5,542,532","3,807,631",-,"482,980","481,602",-,"1,378"
58,11/30/2008,"39,892,382","10,171,143","9,121,143","793,585",0,"8,327,558",-,-,-,"1,050,000","1,050,000","1,050,000","1,227,944","2,233,600","94,117","1,133,827","23,842,026","25,216,611",-,-,"25,216,611",-,"25,216,611","1,374,585",-,"2,392,621","159,021","159,021","2,233,600","552,502","1,301,981","43,201","510,302","740,554",-,"7,924","-749,479","458,740","255,421","203,319",0,"1,247,406","33,976,559","28,530,521","28,452,146","28,452,146","78,375","500,000","500,000","3,210,655","741,967","268,967","473,000","2,468,688","500,000","500,000",-,"500,000","1,735,383","1,731,737",-,"3,646",0,"2,941,688","5,915,823","5,915,823","4,805",-,"4,805","3,046,956","2,938,657","8,257","-66,338","-66,338","7,647,560",-,"5,915,823","3,646","5,457,083","7,647,560","5,457,083","1,735,383",-,"480,517","479,987",-,530.549
59,8/31/2008,"37,317,815","10,475,475","6,931,675",-,"780,731","6,150,944",-,-,-,"3,543,800","3,543,800",-,"1,198,755","1,198,755",-,-,"20,807,714","21,767,483",-,-,-,-,"21,767,483","959,769",-,"133,026","133,026","133,026",-,"563,869",-,-,-,-,-,-,-,"309,582",-,-,-,"3,829,394","31,317,422","26,959,253","26,878,293","26,878,293","80,960",-,-,"252,004","252,004","252,004",-,-,-,-,-,-,"1,854,263","1,854,263",-,-,-,"2,251,902","6,000,393","6,000,393","4,802",-,"4,802","3,116,818","2,924,923","7,167","-38,983",-,"7,854,656",-,"6,000,393",-,"5,690,811","7,854,656","5,690,811","1,854,263",-,"480,228","479,764",-,463.133
60,5/31/2008,"34,233,542","8,765,384","5,999,584",-,"423,373","5,576,211",-,-,-,"2,765,800","2,765,800",-,"1,055,155","1,055,155",-,-,"923,012","1,769,787",-,-,-,-,"1,769,787","846,775",-,"131,388","131,388","131,388",-,"556,030",-,-,-,-,-,-,-,"311,451",-,-,-,"22,491,122","28,383,851","24,767,649","24,716,104","24,716,104","51,545",-,-,"244,344","244,344","244,344",-,-,-,-,-,-,"1,889,909","1,889,909",-,-,-,"1,481,949","5,849,691","5,849,691","4,796",-,"4,796","2,966,053","2,908,676","4,405","-25,429",-,"7,739,600",-,"5,849,691",-,"5,538,240","7,739,600","5,538,240","1,889,909",-,"479,346","479,346",-,-
61,2/29/2008,"37,328,059","8,286,290","4,357,090",-,"368,914","3,988,176",-,-,-,"3,929,200","3,929,200",-,"892,506","892,506",-,-,"20,182,303","21,042,681",-,-,-,-,"21,042,681","860,378",-,"122,765","122,765","122,765",-,"567,475",-,-,-,-,-,-,-,"313,321",-,-,-,"6,963,399","31,673,718","24,941,776","24,881,960","24,881,960","59,816",-,-,"248,480","248,480","248,480",-,-,"250,000","250,000",-,"250,000","1,976,147","1,976,147",-,-,-,"4,257,315","5,654,341","5,654,341","4,793",-,"4,793","2,761,159","2,885,610","2,412","5,191",-,"7,630,488",-,"5,654,341",-,"5,341,020","7,880,488","5,341,020","2,226,147",-,"479,127","479,127",-,-
62,11/30/2007,"37,376,105","8,787,095","2,516,495","369,965","11,191","2,135,339",-,-,-,"6,270,600","6,270,600","6,270,600","525,439","3,093,472","84,289","441,150","23,037,451","23,954,295",0,"234,136","23,720,159",-,"23,965,486","916,844",-,"3,232,886","139,414","139,414","3,093,472","658,492","1,359,456","44,592","539,103","767,837",-,"7,924","-700,964","353,464","255,421","98,043",-,"781,278","31,776,683","24,725,401","24,643,517","24,643,517","81,884","250,000","250,000","1,741,763","264,938","264,938",-,"1,476,825","2,925,426","2,925,426",-,"2,925,426","2,134,093","2,129,141",-,"4,952",-,"1,476,825","5,599,422","5,599,422","4,777",-,"4,777","2,717,905","2,846,127","1,419","32,032","32,032","7,728,563",-,"5,599,422","4,952","5,245,958","10,653,989","5,245,958","5,059,519","2,538,072","477,688","477,688",-,-
63,8/31/2007,"36,141,011","8,587,044","1,139,544",-,"391,060","748,484",-,-,-,"7,447,500","7,447,500",-,"418,948","418,948",-,-,"21,614,432","22,407,315",-,-,-,-,"22,407,315",-,"-792,883","126,486","126,486","126,486",-,"656,980",-,-,-,-,-,-,-,"739,851",-,-,-,"3,997,270","30,473,729","22,977,291","22,905,631","22,905,631","71,660",-,-,"256,323","256,323","256,323",-,-,"3,212,739","3,212,739",-,"3,212,739","2,358,044","2,358,044",-,-,-,"1,669,332","5,667,282","5,667,282","4,773",-,"4,773","2,803,535","2,825,662",-,"33,312",-,"8,025,326",-,"5,667,282",-,"4,927,431","11,238,065","4,927,431","5,570,783","4,431,239","477,554","477,554",-,-
64,5/31/2007,"35,672,568","7,877,206","359,206",-,-,"359,206",-,-,-,"7,518,000","7,518,000",-,"96,658","96,658",-,-,"22,015,030","22,803,778",-,-,-,-,"22,803,778","788,748",-,"139,618","139,618","139,618",-,"658,203",-,-,-,-,-,-,-,"735,698",-,-,-,"4,150,155","29,892,284","23,125,529","23,049,384","23,049,384","76,145",-,-,"236,205","236,205","236,205",-,-,"4,072,153","4,072,153",-,"4,072,153","948,232","948,232",-,-,-,"1,510,165","5,780,284","5,780,284",100,-,100,"2,951,295","2,698,585",-,"130,304",-,"6,728,516",-,"5,780,284",-,"5,044,586","10,800,669","5,044,586","5,020,385","4,661,179","477,554","477,554",-,-
65,2/28/2007,"29,763,803","2,487,498","314,098",-,-,"314,098",-,-,-,"2,173,400","2,173,400",-,"86,146","86,146",-,-,"21,833,383","22,627,233",-,-,-,-,"22,627,233",-,"-793,850","105,310","105,310","105,310",-,"657,845",-,-,-,-,-,-,-,"730,874",-,-,-,"3,862,747","24,235,145","17,661,877","17,575,547","17,575,547","86,330",-,-,"150,680","150,680","150,680",-,-,"3,172,147","3,172,147",-,"3,172,147","1,506,450","1,506,450",-,-,-,"1,743,991","5,528,658","5,528,658",100,-,100,"2,742,053","2,657,900",-,"128,605",-,"7,035,108",-,"5,528,658",-,"4,797,784","10,207,255","4,797,784","4,678,597","4,364,499","477,554","477,554",-,-
66,11/30/2006,"29,067,242","874,357","349,357","334,035","15,322","874,357",-,-,-,"525,000","525,000","525,000","84,411","3,169,895","77,460","6,951","22,910,267","23,742,750","1,056,380","59,089","22,627,281",-,-,"832,483",-,"3,293,850","123,955","123,955","3,169,895","660,900","1,264,974","44,531","525,900","686,619","7,924","7,924","-604,074","734,905","533,728","201,177",-,"508,552","23,292,470","13,343,859","13,238,827","13,238,827","105,032","3,100,000","3,100,000","1,701,355","135,464","135,464",-,"1,565,891","3,639,678","3,639,678","3,639,678","6,739,678","1,507,578","1,501,399",-,"6,179",-,-,"5,774,772","5,774,772",100,-,100,"3,008,421","2,636,265",-,"129,986","129,986","7,276,171",-,"5,774,772","6,179","5,039,867","10,915,849","5,039,867","5,147,256","4,791,720","477,554","477,554",-,-
